followers_count,following_count,followers_following_ratio,account_age_days,bio_length,has_profile_pic,posts_per_day,avg_likes,avg_comments,hashtags_per_post,has_url_in_bio,posting_regularity,content_repetition_score,engagement_consistency,is_fake
69059,18571,3.718647353400463,321,82,1,4.64,103.0,2,13.8,1,0.63,0.36,0.16,1
2138,134,15.955223880597014,907,90,1,0.07,26.0,0,4.8,0,0.68,0.05,0.54,0
204,90,2.2666666666666666,3289,33,1,0.6,47.0,3,1.0,0,0.59,0.05,0.67,0
349,3179,0.10978295061340045,141,148,0,14.82,5.0,0,23.8,0,0.77,0.9,0.05,1
49914,94578,0.5277548689970183,189,77,1,6.66,191.0,3,22.7,0,0.88,0.42,0.12,1
85,451,0.188470066518847,3740,77,1,0.16,14.0,0,7.3,0,0.33,0.15,0.75,0
18,6826,0.002636976267213595,15,0,0,46.8,2.0,0,28.0,0,0.93,0.93,0.09,1
200,34,5.882352941176471,398,82,1,1.43,52.0,2,0.3,0,0.5,0.03,0.71,0
395,53,7.452830188679245,2976,94,0,0.13,24.0,2,4.6,1,0.85,0.19,0.82,0
78,4229,0.018444076613856705,42,138,1,24.34,8.0,0,22.0,1,0.9,0.58,0.08,1
88,3329,0.0264343646740763,144,134,1,11.56,1.0,0,20.5,1,0.82,0.56,0.22,1
1580,192,8.229166666666666,1906,121,1,0.97,13.0,0,3.3,0,0.41,0.08,0.6,0
37,78,0.47435897435897434,3041,29,1,0.56,11.1,0,6.1,0,0.87,0.14,0.61,0
453,1587,0.28544423440453687,95,135,0,12.7,0.0,0,29.7,0,0.71,0.56,0.16,1
92,119,0.773109243697479,895,50,1,0.76,27.599999999999998,3,6.4,1,0.65,0.03,0.88,0
83,1964,0.04226069246435845,27,0,0,31.13,0.0,0,17.8,1,0.98,0.95,0.16,1
5,231,0.021645021645021644,3657,65,1,0.08,0.0,0,3.0,1,0.55,0.15,0.73,0
48,45,1.0666666666666667,1601,88,1,0.71,14.399999999999999,1,1.9,1,0.93,0.15,0.94,0
86,33,2.606060606060606,1295,29,1,1.9,7.0,0,6.3,0,0.52,0.2,0.77,0
5,1325,0.0037735849056603774,2313,70,1,1.07,1.5,0,7.3,0,0.5,0.2,0.72,0
20,7259,0.0027552004408320707,11,0,0,27.03,2.0,0,23.3,1,0.86,0.87,0.16,1
318,12,26.5,424,70,1,0.82,1.0,0,2.2,1,0.73,0.1,0.58,0
357,4935,0.07234042553191489,113,145,1,9.28,4.0,0,24.2,0,0.82,0.78,0.15,1
185,6,30.833333333333332,2013,65,0,0.22,55.5,3,7.4,1,0.7,0.17,0.73,0
61,1183,0.05156382079459002,60,6,1,27.57,2.0,0,23.9,1,0.92,0.75,0.01,1
27968,7885,3.5469879518072287,289,79,1,5.36,45.0,1,18.3,0,0.65,0.37,0.31,1
46,15,3.066666666666667,2736,1,1,0.72,5.0,0,1.3,0,0.66,0.14,0.59,0
122,50,2.44,3631,57,0,0.02,4.0,0,2.6,1,0.9,0.03,0.75,0
69,4442,0.015533543448896894,39,15,1,11.89,1.0,0,17.9,1,0.96,0.98,0.13,1
1,33,0.030303030303030304,795,84,1,1.0,0.3,0,3.3,1,0.7,0.23,0.8,0
236,118,2.0,3075,66,1,2.31,52.0,7,4.4,0,0.86,0.08,0.57,0
558,111,5.027027027027027,2770,131,1,0.26,3.0,0,6.0,0,0.53,0.01,0.51,0
52749,24585,2.1455765710799266,279,89,1,8.21,522.0,15,19.3,0,0.77,0.42,0.1,1
3781,387,9.770025839793282,40,117,1,1.93,75.0,2,2.5,1,0.47,0.73,0.49,1
53,1829,0.028977583378895572,50,103,1,27.64,0.0,0,26.3,1,0.96,0.54,0.28,1
909,299,3.040133779264214,1403,110,1,0.92,10.0,0,0.3,1,0.68,0.13,0.92,0
60,6,10.0,833,91,1,0.84,18.0,1,7.6,1,0.46,0.23,0.92,0
11,5,2.2,467,132,1,0.26,0.0,0,3.8,0,0.83,0.11,0.77,0
277,244,1.1352459016393444,1134,85,1,0.41,6.0,0,1.7,0,0.93,0.04,0.77,0
413,3207,0.12878079201746181,77,109,1,19.96,7.0,0,27.9,1,0.73,0.75,0.25,1
258,25,10.32,3679,144,1,0.43,3.0,0,2.1,0,0.59,0.22,0.66,0
69,2395,0.02881002087682672,35,0,1,24.6,0.0,0,29.3,1,0.9,0.94,0.11,1
292,3723,0.0784313725490196,110,145,0,11.07,2.0,0,20.6,0,0.73,0.83,0.1,1
463,143,3.237762237762238,65,159,1,4.51,14.0,0,6.9,0,0.57,0.65,0.37,1
2536,131,19.358778625954198,17,85,1,4.63,54.0,0,8.4,1,0.5,0.64,0.38,1
228,19,12.0,2828,111,1,0.55,41.0,4,5.0,1,0.32,0.07,0.7,0
871,332,2.6234939759036147,2105,106,1,0.09,6.0,0,1.5,0,0.44,0.22,0.84,0
5607,76,73.77631578947368,1988,72,1,0.0,40.0,2,6.9,1,0.46,0.14,0.54,0
14,1155,0.012121212121212121,51,0,0,28.05,0.0,0,17.4,1,1.0,0.61,0.06,1
53,827,0.06408706166868199,74,10,0,21.36,2.0,0,19.1,1,0.95,0.98,0.08,1
55,2507,0.021938571998404467,27,131,1,11.76,8.0,0,22.1,0,0.72,0.6,0.26,1
22,12,1.8333333333333333,1489,45,1,1.85,3.0,0,1.5,0,0.78,0.23,0.57,0
21,421,0.0498812351543943,366,78,1,1.01,6.3,0,0.0,0,0.8,0.05,0.72,0
41518,77941,0.5326849796641049,455,63,1,3.05,370.0,14,12.5,1,0.64,0.42,0.21,1
92,736,0.125,42,0,1,47.14,0.0,0,22.5,0,0.94,0.84,0.09,1
7,39,0.1794871794871795,3464,93,1,0.08,2.1,0,1.5,1,0.73,0.23,0.68,0
773,6,128.83333333333334,475,67,1,1.66,8.0,0,4.5,0,0.6,0.24,0.63,0
7,2,3.5,1418,84,1,0.84,2.1,0,1.3,0,0.53,0.1,0.58,0
1032,88,11.727272727272727,420,75,1,0.92,39.0,4,0.4,0,0.75,0.08,0.57,0
1237,7,176.71428571428572,1018,83,1,0.28,1.0,0,4.2,0,0.85,0.06,0.77,0
1316,465,2.8301075268817204,3552,48,1,0.21,2.0,0,4.3,1,0.8,0.08,0.93,0
41,58,0.7068965517241379,1832,55,1,1.74,7.0,0,5.7,0,0.58,0.06,0.67,0
455,39,11.666666666666666,3256,160,1,0.57,7.0,0,8.0,1,0.69,0.22,0.81,0
104,188,0.5531914893617021,3954,40,1,0.49,11.0,1,7.9,1,0.36,0.18,0.63,0
1503,402,3.7388059701492535,31,89,1,1.77,69.0,2,4.1,1,0.49,0.72,0.44,1
28756,46841,0.6139066202685681,489,68,1,3.9,254.0,5,14.9,0,0.8,0.58,0.33,1
56,370,0.15135135135135136,2044,125,1,1.86,1.0,0,6.2,1,0.32,0.1,0.56,0
1332,8,166.5,3720,80,1,0.26,28.0,4,1.1,0,0.48,0.07,0.68,0
107,705,0.15177304964539007,870,68,1,0.31,14.0,0,6.5,0,0.47,0.08,0.61,0
54760,98752,0.5545204147764096,410,81,1,10.06,258.0,4,10.8,0,0.61,0.32,0.39,1
24,109,0.22018348623853212,2922,130,1,2.03,7.199999999999999,0,0.8,1,0.93,0.24,0.69,0
71,363,0.19559228650137742,2347,9,1,0.51,21.3,0,6.5,1,0.6,0.14,0.82,0
2570,231,11.125541125541126,73,124,1,3.45,89.0,4,7.2,0,0.56,0.48,0.41,1
6,90,0.06666666666666667,190,33,1,0.26,1.7999999999999998,0,4.0,0,0.59,0.11,0.77,0
180,2242,0.08028545941123996,193,148,1,16.19,1.0,0,28.4,0,0.7,0.56,0.18,1
26,12,2.1666666666666665,1060,53,1,0.4,3.0,0,4.1,1,0.83,0.12,0.57,0
343,2051,0.16723549488054607,54,114,1,22.28,9.0,0,23.1,0,0.97,0.74,0.11,1
11,14,0.7857142857142857,3944,45,1,0.53,3.3,0,3.7,0,0.81,0.09,0.94,0
401,3272,0.12255501222493888,123,114,1,23.03,8.0,0,24.1,0,0.86,0.62,0.16,1
1184,14,84.57142857142857,2644,51,1,0.35,16.0,1,7.4,0,0.31,0.11,0.87,0
3800,79,48.10126582278481,1806,81,1,0.81,0.0,0,3.9,0,0.82,0.1,0.67,0
237,65,3.646153846153846,3736,103,1,0.14,6.0,0,5.5,1,0.32,0.05,0.68,0
397,1015,0.39113300492610836,31,128,1,29.56,0.0,0,23.2,1,0.94,0.74,0.19,1
60,13,4.615384615384615,330,159,1,2.66,1.0,0,5.8,0,0.87,0.03,0.86,0
4039,100,40.39,75,114,1,4.26,63.0,2,5.1,0,0.54,0.65,0.43,1
8,194,0.041237113402061855,180,95,1,0.06,2.4,0,6.6,0,0.43,0.15,0.87,0
157,384,0.4088541666666667,2212,76,1,0.22,2.0,0,3.0,1,0.51,0.05,0.65,0
4784,109,43.88990825688074,33,99,1,2.19,93.0,3,7.8,0,0.68,0.75,0.43,1
265,3744,0.07077991452991453,100,103,0,6.44,4.0,0,28.6,0,0.73,0.78,0.06,1
254,19,13.368421052631579,1489,98,1,0.41,1.0,0,3.9,1,0.66,0.17,0.51,0
25,23,1.0869565217391304,662,52,1,0.53,7.5,1,7.7,0,0.55,0.22,0.89,0
1416,513,2.760233918128655,1034,152,1,4.6,94.0,2,0.5,1,0.78,0.03,0.78,0
39,51,0.7647058823529411,1278,52,1,0.51,11.7,0,3.3,0,0.64,0.0,0.92,0
66,252,0.2619047619047619,3171,108,1,0.2,19.8,0,1.9,1,0.84,0.09,0.84,0
26,219,0.1187214611872146,535,105,1,1.4,7.8,0,6.9,0,0.87,0.19,0.88,0
93,6900,0.013478260869565217,78,0,0,46.82,2.0,0,29.0,0,0.87,0.64,0.04,1
149,2565,0.058089668615984406,126,122,0,24.89,2.0,0,24.0,1,0.98,0.6,0.14,1
113,4368,0.025869963369963368,66,104,1,26.94,2.0,0,24.5,1,0.82,0.52,0.27,1
295,80,3.6875,2258,108,1,1.88,2.0,0,4.4,1,0.58,0.21,0.86,0
43,5549,0.007749143989908091,27,0,1,33.25,1.0,0,15.8,0,0.97,0.82,0.14,1
60,48,1.25,1098,160,1,1.13,18.0,1,7.4,0,0.58,0.2,0.87,0
38,24,1.5833333333333333,2898,112,1,1.94,11.4,1,3.2,1,0.47,0.24,0.64,0
766,20,38.3,2171,45,1,0.47,47.0,4,2.3,0,0.82,0.06,0.64,0
513,5511,0.09308655416439847,270,85,1,0.02,26.0,0,4.9,0,0.62,0.08,0.74,0
96638,64251,1.5040699755645826,90,69,1,9.11,146.0,5,14.6,0,0.74,0.36,0.1,1
4913,102,48.166666666666664,49,67,1,1.63,21.0,0,2.5,1,0.66,0.45,0.39,1
87,67,1.2985074626865671,2540,37,1,0.24,6.0,0,4.5,1,0.93,0.09,0.81,0
153,2330,0.06566523605150215,27,151,1,8.63,1.0,0,22.8,1,0.77,0.7,0.28,1
22,3608,0.006097560975609756,11,0,0,47.91,1.0,0,28.9,0,0.92,0.93,0.15,1
229,19,12.052631578947368,3207,7,1,0.25,45.0,2,7.9,0,0.87,0.2,0.79,0
11,10,1.1,1395,47,1,1.34,3.3,0,6.8,1,0.31,0.15,0.71,0
57,5404,0.010547742413027387,33,0,0,27.67,0.0,0,28.1,1,0.88,0.61,0.01,1
1044,484,2.15702479338843,61,145,1,3.1,27.0,0,6.5,1,0.33,0.74,0.39,1
299,4306,0.06943799349744542,186,141,0,9.38,5.0,0,23.6,1,0.8,0.59,0.27,1
14,115,0.12173913043478261,882,17,1,0.49,4.2,0,1.4,0,0.41,0.17,0.69,0
1367,189,7.232804232804233,3055,96,1,0.25,56.0,8,1.5,1,0.49,0.24,0.94,0
167,152,1.0986842105263157,3491,83,1,0.0,19.0,0,1.6,1,0.47,0.08,0.66,0
996,74,13.45945945945946,3487,18,0,1.0,2.0,0,6.4,0,0.38,0.07,0.94,0
264,2878,0.0917303683113273,67,118,1,5.81,9.0,0,26.5,0,0.83,0.52,0.21,1
9,3610,0.002493074792243767,35,0,0,45.06,0.0,0,27.5,1,0.92,0.61,0.1,1
86,2956,0.029093369418132613,97,0,0,21.57,0.0,0,16.1,1,0.9,0.87,0.01,1
23,422,0.054502369668246446,1455,127,1,0.54,2.0,0,1.7,1,0.93,0.07,0.6,0
269,77,3.4935064935064934,1879,14,1,0.67,9.0,1,6.5,1,0.58,0.21,0.66,0
20,7395,0.002704530087897228,46,0,0,27.81,0.0,0,21.6,0,0.92,0.98,0.11,1
86009,65718,1.3087586353814784,416,54,1,5.51,792.0,11,21.0,0,0.63,0.65,0.2,1
179,60,2.9833333333333334,1346,98,1,0.43,17.0,2,7.8,1,0.9,0.02,0.65,0
44218,56452,0.7832849146177283,428,96,1,9.65,323.0,3,14.8,1,0.72,0.66,0.13,1
338,21,16.095238095238095,2782,80,1,2.2,101.39999999999999,12,5.1,1,0.94,0.07,0.59,0
95,1390,0.0683453237410072,1211,45,1,0.42,28.5,3,3.8,1,0.84,0.22,0.69,0
670,263,2.547528517110266,2952,38,1,1.72,85.0,12,0.4,0,0.47,0.21,0.66,0
340,1330,0.2556390977443609,126,146,1,17.56,3.0,0,29.7,1,0.84,0.55,0.06,1
38,49,0.7755102040816326,1860,42,1,0.73,11.4,1,3.1,1,0.59,0.01,0.87,0
8646,18,480.3333333333333,514,103,1,0.33,12.0,1,5.6,1,0.34,0.13,0.77,0
562,2759,0.20369699166364624,1013,65,1,0.25,4.0,0,3.7,1,0.77,0.08,0.79,0
372,120,3.1,2379,86,1,0.42,2.0,0,5.2,0,0.71,0.03,0.64,0
45,5440,0.008272058823529412,24,0,0,45.38,1.0,0,22.3,0,0.95,0.72,0.17,1
48,77,0.6233766233766234,1348,55,1,0.05,14.399999999999999,1,1.7,1,0.57,0.09,0.74,0
12,2678,0.004480955937266617,58,0,0,30.84,2.0,0,19.9,1,0.86,0.95,0.03,1
107,3130,0.034185303514377,196,115,1,10.91,8.0,0,24.8,1,0.94,0.84,0.24,1
17,6586,0.00258123291831157,43,5,0,38.57,0.0,0,16.0,0,0.91,0.89,0.18,1
114,62,1.8387096774193548,1699,141,1,0.32,2.0,0,0.7,1,0.63,0.01,0.68,0
849,445,1.9078651685393258,2863,38,1,1.33,2.0,0,7.3,0,0.63,0.2,0.79,0
37,213,0.17370892018779344,2927,115,1,0.14,11.1,0,2.9,0,0.78,0.23,0.53,0
212,3409,0.062188325022000585,127,131,1,6.95,5.0,0,27.1,1,0.76,0.81,0.2,1
846,66,12.818181818181818,831,95,1,0.72,10.0,1,7.6,0,0.86,0.16,0.6,0
7,33,0.21212121212121213,964,27,1,0.86,2.1,0,4.8,1,0.35,0.24,0.63,0
147,51,2.8823529411764706,2527,113,1,0.2,44.1,6,5.6,1,0.51,0.23,0.9,0
1576,3027,0.5206475057813016,372,59,1,0.13,22.0,1,2.0,0,0.47,0.12,0.68,0
35,5583,0.0062690309869245925,40,19,0,35.2,2.0,0,28.4,1,0.96,0.68,0.19,1
461,5577,0.08266092881477496,1050,102,1,1.21,3.0,0,7.5,0,0.73,0.1,0.71,0
137,4236,0.032341831916902736,21,150,1,17.4,3.0,0,25.7,1,0.93,0.9,0.13,1
23,3083,0.007460265974699967,15,10,0,40.2,1.0,0,22.2,1,0.95,0.62,0.02,1
63,121,0.5206611570247934,2027,102,1,0.47,12.0,0,5.1,1,0.35,0.25,0.62,0
96,3110,0.030868167202572346,112,0,0,30.7,2.0,0,21.1,1,0.88,0.93,0.01,1
93,6565,0.014166031987814166,33,0,0,37.55,0.0,0,25.7,1,0.94,0.72,0.11,1
183,38,4.815789473684211,851,37,1,1.52,3.0,0,4.3,0,0.32,0.03,0.54,0
292,74,3.945945945945946,275,104,1,0.26,8.0,0,4.9,0,0.77,0.22,0.8,0
263,391,0.6726342710997443,3365,124,1,0.02,9.0,1,6.9,0,0.78,0.1,0.59,0
95,179,0.5307262569832403,3639,51,1,0.12,28.5,1,2.2,0,0.76,0.24,0.83,0
3583,355,10.092957746478874,12,108,1,2.98,9.0,0,8.0,0,0.3,0.57,0.47,1
50,193,0.25906735751295334,1525,83,1,0.93,2.0,0,0.5,0,0.92,0.22,0.95,0
29,855,0.03391812865497076,1716,73,1,0.38,2.0,0,0.4,0,0.58,0.05,0.87,0
2338,13,179.84615384615384,1098,80,1,0.03,2.0,0,1.4,0,0.48,0.24,0.76,0
23087,64771,0.356440382269843,429,67,1,8.65,229.0,6,10.3,0,0.72,0.67,0.29,1
88,4223,0.020838266635093534,90,124,0,24.33,9.0,0,21.7,0,0.8,0.57,0.27,1
70,65,1.0769230769230769,3947,100,1,1.43,2.0,0,5.2,0,0.71,0.06,0.67,0
43478,32961,1.3190740572191377,330,83,1,8.4,226.0,8,10.9,1,0.92,0.64,0.22,1
611,288,2.1215277777777777,3288,80,1,0.14,9.0,0,0.7,1,0.61,0.16,0.57,0
967,66,14.651515151515152,2023,90,1,1.02,20.0,2,3.1,1,0.85,0.12,0.56,0
31,880,0.035227272727272725,3106,20,1,1.1,4.0,0,0.4,0,0.32,0.12,0.9,0
1239,138,8.978260869565217,3475,15,1,0.47,18.0,0,3.0,0,0.33,0.17,0.88,0
192,263,0.7300380228136882,863,96,1,1.67,36.0,3,7.1,1,0.34,0.12,0.62,0
45,49,0.9183673469387755,1951,55,1,0.76,13.5,0,3.8,1,0.74,0.14,0.79,0
79648,77516,1.027503999174364,310,96,1,12.98,395.0,14,21.1,0,0.95,0.65,0.1,1
42,100,0.42,347,66,1,0.17,12.6,1,0.0,0,0.35,0.05,0.67,0
89,161,0.5527950310559007,2876,75,1,1.44,10.0,0,4.9,0,0.81,0.05,0.83,0
4131,58,71.22413793103448,78,81,1,2.41,99.0,2,5.2,0,0.56,0.52,0.31,1
4,4490,0.0008908685968819599,101,5,0,44.05,0.0,0,19.1,1,0.99,0.63,0.12,1
90,144,0.625,478,95,1,1.54,24.0,2,4.2,0,0.57,0.05,0.63,0
463,4742,0.0976381273724167,163,131,1,10.64,4.0,0,27.3,1,0.86,0.68,0.17,1
97,5202,0.018646674356016916,37,7,0,36.58,2.0,0,21.0,0,0.93,0.81,0.19,1
70,2098,0.03336510962821735,58,0,1,41.43,1.0,0,23.1,1,0.88,0.83,0.15,1
73,1092,0.06684981684981685,16,0,0,18.06,1.0,0,24.3,0,0.97,0.85,0.02,1
10,19,0.5263157894736842,2637,102,1,0.62,3.0,0,4.7,0,0.85,0.23,0.53,0
30,3645,0.00823045267489712,112,7,0,26.35,0.0,0,16.5,0,0.91,0.62,0.11,1
76,1921,0.03956272774596564,67,15,0,41.36,2.0,0,18.2,1,0.93,0.72,0.16,1
155,77,2.012987012987013,1157,89,1,0.47,4.0,0,4.4,0,0.81,0.19,0.66,0
779,153,5.091503267973856,55,75,1,1.63,36.0,1,9.6,1,0.68,0.74,0.41,1
82240,27474,2.9933755550702483,161,36,1,4.8,88.0,2,18.8,0,0.92,0.36,0.33,1
60051,26073,2.303187205154758,151,32,1,8.12,293.0,9,13.5,0,0.87,0.45,0.3,1
28,263,0.10646387832699619,1586,91,1,1.13,8.4,0,2.1,0,0.88,0.12,0.93,0
86,4252,0.02022577610536218,3,0,0,22.04,1.0,0,27.3,0,0.87,0.74,0.06,1
30,2788,0.010760401721664276,16,8,0,22.66,2.0,0,24.8,0,0.96,0.82,0.11,1
351,28,12.535714285714286,3318,109,1,0.56,105.3,13,4.4,0,0.62,0.2,0.68,0
26,6658,0.0039050765995794533,107,0,0,14.79,2.0,0,27.7,1,0.86,0.73,0.08,1
74,65,1.1384615384615384,3045,66,1,0.12,2.0,0,0.4,0,0.84,0.09,0.89,0
274,193,1.4196891191709844,837,88,1,0.11,11.0,0,3.7,0,0.9,0.02,0.64,0
56,24,2.3333333333333335,1287,91,1,0.23,16.8,1,4.6,0,0.89,0.0,0.8,0
179,4761,0.03759714345725688,159,144,0,24.24,2.0,0,25.8,1,0.94,0.57,0.09,1
91,3597,0.02529886016124548,104,12,0,45.36,0.0,0,25.9,0,0.88,1.0,0.16,1
230,1105,0.2081447963800905,3270,59,1,1.29,32.0,2,1.4,1,0.59,0.09,0.75,0
16,159,0.10062893081761007,258,86,1,0.93,2.0,0,6.2,0,0.48,0.18,0.92,0
38,3,12.666666666666666,806,124,1,0.16,4.0,0,6.5,0,0.92,0.23,0.57,0
1268,159,7.9748427672955975,2969,106,1,1.12,10.0,0,7.2,0,0.89,0.05,0.8,0
94,4020,0.023383084577114428,115,113,0,21.7,1.0,0,29.8,0,0.75,0.81,0.29,1
82,4,20.5,2876,79,1,0.37,24.599999999999998,2,3.3,1,0.32,0.17,0.95,0
220,3329,0.06608591168519075,128,126,1,29.83,9.0,0,27.1,0,0.75,0.64,0.27,1
73308,49840,1.4708667736757624,422,58,1,12.64,94.0,3,12.0,0,0.86,0.35,0.31,1
87,989,0.08796764408493428,63,8,0,26.21,1.0,0,25.4,1,0.85,0.84,0.1,1
3501,19,184.26315789473685,1172,99,1,0.51,8.0,1,5.7,1,0.4,0.0,0.78,0
99,4628,0.02139152981849611,93,9,0,17.1,1.0,0,27.0,1,0.94,0.96,0.12,1
1810,35,51.714285714285715,3053,71,1,1.6,30.0,3,3.1,0,0.33,0.2,0.59,0
855,24,35.625,1554,66,1,0.04,47.0,3,2.7,0,0.93,0.12,0.87,0
349,4,87.25,988,97,1,0.5,32.0,3,2.7,0,0.33,0.15,0.57,0
14830,41046,0.36130195390537445,498,34,1,3.27,59.0,0,24.3,1,0.61,0.39,0.28,1
30174,52043,0.5797897892127664,264,54,1,6.33,80.0,1,23.1,1,0.89,0.47,0.32,1
4918,457,10.761487964989058,21,140,1,4.27,60.0,0,7.7,0,0.66,0.8,0.21,1
151,2912,0.05185439560439561,39,122,0,19.98,0.0,0,25.0,1,0.94,0.73,0.17,1
3387,299,11.327759197324415,2778,50,1,0.34,1.0,0,3.0,1,0.36,0.21,0.88,0
171,879,0.1945392491467577,1134,153,0,0.83,1.0,0,3.9,0,0.83,0.12,0.95,0
3,13,0.23076923076923078,2162,69,1,0.23,0.8999999999999999,0,2.3,0,0.77,0.07,0.75,0
39,7376,0.005287418655097614,113,0,1,17.65,1.0,0,29.4,0,0.86,0.92,0.04,1
5,150,0.03333333333333333,603,85,1,0.31,1.5,0,4.9,0,0.35,0.08,0.64,0
66,102,0.6470588235294118,1230,77,1,3.24,6.0,0,1.3,0,0.64,0.04,0.91,0
126,17,7.411764705882353,3203,80,1,0.92,26.0,3,0.6,0,0.84,0.12,0.75,0
2844,713,3.9887798036465636,2980,92,1,0.16,4.0,0,7.8,1,0.86,0.12,0.61,0
57,2714,0.021002210759027265,94,0,1,41.3,2.0,0,18.8,1,1.0,0.76,0.14,1
31,4024,0.007703777335984096,73,0,1,43.66,2.0,0,19.2,1,0.93,0.78,0.03,1
51,286,0.17832167832167833,2159,89,1,0.45,9.0,1,6.7,1,0.82,0.11,0.72,0
413,3001,0.137620793068977,89,120,0,25.44,9.0,0,28.7,1,0.83,0.53,0.08,1
202,102,1.9803921568627452,785,21,1,0.42,7.0,1,2.1,0,0.92,0.12,0.89,0
11,7471,0.0014723597911926113,57,15,1,15.12,0.0,0,26.1,1,0.93,0.91,0.0,1
87,1481,0.0587440918298447,63,0,1,14.62,2.0,0,29.4,0,0.98,0.77,0.12,1
6,94,0.06382978723404255,3522,93,1,0.35,1.7999999999999998,0,1.9,1,0.35,0.13,0.79,0
82,126,0.6507936507936508,1738,105,1,0.81,0.0,0,6.9,0,0.44,0.08,0.88,0
8,198,0.04040404040404041,2079,80,1,0.89,2.4,0,1.8,0,0.36,0.12,0.5,0
13,18,0.7222222222222222,1345,93,1,0.72,3.9,0,3.8,0,0.4,0.24,0.87,0
92,241,0.3817427385892116,2323,86,1,2.5,13.0,0,6.1,0,0.83,0.01,0.54,0
40,224,0.17857142857142858,485,71,1,1.32,11.0,1,7.3,0,0.74,0.01,0.85,0
214,130,1.646153846153846,2823,57,1,1.7,19.0,2,7.4,0,0.59,0.24,0.71,0
307,1608,0.19092039800995025,32,131,1,12.31,9.0,0,28.8,0,0.94,0.7,0.06,1
73962,76813,0.962883886842071,112,90,1,12.65,136.0,2,15.3,1,0.73,0.59,0.36,1
84,10,8.4,428,75,1,1.6,14.0,1,6.0,0,0.82,0.11,0.85,0
58,1875,0.030933333333333334,35,0,0,12.62,1.0,0,30.0,0,0.89,0.71,0.03,1
6,5,1.2,386,110,1,0.09,1.7999999999999998,0,0.8,0,0.43,0.06,0.58,0
2,250,0.008,491,53,1,0.03,0.0,0,4.3,0,0.46,0.19,0.58,0
54,117,0.46153846153846156,1848,94,1,0.06,8.0,1,7.0,0,0.73,0.17,0.59,0
239,26,9.192307692307692,1477,91,1,3.3,71.7,2,4.6,0,0.75,0.18,0.51,0
11,4216,0.0026091081593927895,43,0,0,13.95,1.0,0,27.3,1,0.98,0.67,0.02,1
13,17,0.7647058823529411,3695,82,1,0.05,3.0,0,3.1,1,0.61,0.15,0.81,0
662,56,11.821428571428571,2536,19,1,0.78,19.0,1,7.3,0,0.63,0.1,0.86,0
86,151,0.5695364238410596,2074,46,1,1.4,0.0,0,4.2,0,0.34,0.12,0.85,0
205,4646,0.04412397761515282,24,148,1,9.53,1.0,0,22.2,1,0.74,0.68,0.14,1
322,664,0.48493975903614456,1148,63,1,2.1,96.6,11,3.5,1,0.82,0.12,0.53,0
1588,197,8.060913705583756,71,101,1,4.33,43.0,0,8.1,0,0.51,0.77,0.3,1
1037,86,12.05813953488372,33,130,1,1.93,9.0,0,2.5,1,0.4,0.45,0.31,1
155,748,0.2072192513368984,3874,87,1,0.81,11.0,0,7.1,0,0.41,0.0,0.75,0
61,343,0.17784256559766765,1477,74,1,0.22,18.3,2,4.6,0,0.36,0.12,0.91,0
1006,22,45.72727272727273,2941,33,1,0.39,19.0,0,2.7,0,0.84,0.08,0.61,0
138,619,0.22294022617124395,200,62,1,0.36,1.0,0,2.9,0,0.79,0.2,0.54,0
7824,3256,2.402948402948403,3404,81,0,1.03,31.0,1,7.4,0,0.57,0.17,0.68,0
536,660,0.8121212121212121,681,117,1,0.1,25.0,0,5.5,0,0.43,0.12,0.53,0
3,13,0.23076923076923078,3676,80,0,0.5,0.8999999999999999,0,2.1,0,0.4,0.24,0.85,0
2286,72,31.75,3112,115,1,1.21,12.0,1,2.1,1,0.88,0.19,0.92,0
190,296,0.6418918918918919,550,60,1,0.57,39.0,1,0.9,1,0.36,0.07,0.95,0
63,5198,0.012120046171604464,97,0,1,32.12,0.0,0,15.3,1,0.97,0.76,0.11,1
19,2078,0.009143407122232916,8,0,0,31.82,2.0,0,19.1,1,0.87,0.75,0.16,1
458,43,10.651162790697674,3639,32,0,0.79,3.0,0,6.3,1,0.41,0.14,0.75,0
144,4811,0.029931407191852007,143,134,0,26.01,6.0,0,21.1,1,0.9,0.73,0.29,1
239,494,0.48380566801619435,25,104,1,4.53,28.0,0,3.8,1,0.56,0.68,0.2,1
54,477,0.11320754716981132,2397,87,0,5.35,16.2,1,2.4,0,0.95,0.16,0.86,0
20,364,0.054945054945054944,952,47,1,0.44,3.0,0,4.1,1,0.35,0.17,0.67,0
60264,50689,1.188896999348971,364,68,1,12.18,525.0,8,22.0,1,0.71,0.69,0.29,1
121,4585,0.02639040348964013,179,114,1,12.84,4.0,0,28.3,1,0.74,0.78,0.14,1
42014,72351,0.5806968804854113,391,44,1,13.32,215.0,2,10.2,1,0.83,0.57,0.27,1
1174,67,17.52238805970149,3376,75,1,0.02,20.0,2,2.6,0,0.89,0.13,0.75,0
3994,544,7.341911764705882,1307,77,1,2.06,1.0,0,3.3,0,0.35,0.19,0.85,0
13,478,0.027196652719665274,3136,83,0,0.11,3.9,0,6.2,0,0.38,0.07,0.51,0
214,2680,0.07985074626865672,100,117,0,29.13,2.0,0,27.8,1,0.92,0.85,0.05,1
2360,269,8.773234200743495,85,133,1,3.21,38.0,0,9.3,0,0.3,0.53,0.48,1
